expiration,type,strike,days_to_exp,T,spot,bid,ask,mid_price,bs_value,pct_diff,impl_vol,r_extracted,open_interest,volume,moneyness
2026-06-10,call,370.0,1,0.0027397260273972603,394.125,20.6,21.25,20.925,24.1706,-0.1343,0.0,0.045,532,607,1.0652
2026-06-10,call,385.0,1,0.0027397260273972603,394.125,8.35,8.45,8.4,9.1725,-0.0842,0.0,0.045,543,5218,1.0237
2026-06-10,call,390.0,1,0.0027397260273972603,394.125,5.5,5.6,5.55,5.55,-0.0,0.3683,0.045,600,17309,1.0106
2026-06-10,call,395.0,1,0.0027397260273972603,394.125,3.35,3.4,3.375,3.375,0.0,0.4581,0.045,552,22162,0.9978
2026-06-10,call,397.5,1,0.0027397260273972603,394.125,2.6,2.62,2.61,2.61,-0.0,0.491,0.045,799,8226,0.9915
2026-06-10,call,400.0,1,0.0027397260273972603,394.125,1.96,1.99,1.975,1.975,-0.0,0.5151,0.045,1882,31072,0.9853
2026-06-10,call,402.5,1,0.0027397260273972603,394.125,1.47,1.5,1.485,1.485,-0.0,0.5371,0.045,781,19014,0.9792
2026-06-10,call,405.0,1,0.0027397260273972603,394.125,1.1,1.12,1.11,1.11,-0.0,0.5574,0.045,2762,24228,0.9731
2026-06-10,call,407.5,1,0.0027397260273972603,394.125,0.81,0.84,0.825,0.825,-0.0,0.5761,0.045,1334,21089,0.9672
2026-06-10,call,410.0,1,0.0027397260273972603,394.125,0.62,0.64,0.63,0.63,-0.0,0.599,0.045,2997,39519,0.9613
2026-06-10,call,412.5,1,0.0027397260273972603,394.125,0.47,0.49,0.48,0.48,-0.0,0.6202,0.045,1458,29808,0.9555
2026-06-10,call,415.0,1,0.0027397260273972603,394.125,0.37,0.38,0.375,0.375,-0.0,0.6439,0.045,3586,62778,0.9497
2026-06-10,call,417.5,1,0.0027397260273972603,394.125,0.3,0.31,0.305,0.0,0.0,0.0001,0.045,1636,31429,0.944
2026-06-10,call,420.0,1,0.0027397260273972603,394.125,0.23,0.25,0.24,0.0,0.0,0.0001,0.045,4942,78309,0.9384
2026-06-10,call,422.5,1,0.0027397260273972603,394.125,0.2,0.21,0.205,0.0,0.0,0.0001,0.045,1671,17377,0.9328
2026-06-10,call,425.0,1,0.0027397260273972603,394.125,0.16,0.18,0.17,0.0,0.0,0.0415,0.045,4407,34457,0.9274
2026-06-10,call,427.5,1,0.0027397260273972603,394.125,0.13,0.15,0.14,0.0,0.0,0.1798,0.045,939,12525,0.9219
2026-06-10,call,430.0,1,0.0027397260273972603,394.125,0.11,0.13,0.12,0.0,0.0,0.3174,0.045,3998,29374,0.9166
2026-06-10,call,432.5,1,0.0027397260273972603,394.125,0.1,0.11,0.105,0.0001,0.0,0.4535,0.045,1006,13376,0.9113
2026-06-10,call,435.0,1,0.0027397260273972603,394.125,0.09,0.1,0.095,0.095,-0.0,0.8615,0.045,2847,8289,0.906
2026-06-10,call,437.5,1,0.0027397260273972603,394.125,0.08,0.09,0.085,0.085,-0.0,0.8905,0.045,2115,5370,0.9009
2026-06-10,call,440.0,1,0.0027397260273972603,394.125,0.06,0.07,0.065,0.065,-0.0,0.9003,0.045,3356,6083,0.8957
2026-06-10,call,442.5,1,0.0027397260273972603,394.125,0.05,0.08,0.065,0.0,0.0,0.3,0.045,2030,2501,0.8907
2026-06-10,call,445.0,1,0.0027397260273972603,394.125,0.05,0.06,0.055,0.0,0.0,0.3,0.045,1714,2238,0.8857
2026-06-10,call,447.5,1,0.0027397260273972603,394.125,0.05,0.09,0.07,0.0,0.0,0.3,0.045,728,1371,0.8807
2026-06-10,call,450.0,1,0.0027397260273972603,394.125,0.04,0.05,0.045,0.0,0.0,0.3,0.045,3386,4996,0.8758
2026-06-10,call,452.5,1,0.0027397260273972603,394.125,0.03,0.04,0.035,0.0,0.0,0.3,0.045,541,982,0.871
2026-06-10,call,455.0,1,0.0027397260273972603,394.125,0.03,0.04,0.035,0.0,0.0,0.3,0.045,741,1231,0.8662
2026-06-10,call,457.5,1,0.0027397260273972603,394.125,0.02,0.06,0.04,0.0,0.0,0.3,0.045,1308,1053,0.8615
2026-06-10,call,460.0,1,0.0027397260273972603,394.125,0.03,0.04,0.035,0.0,0.0,0.3,0.045,2138,1636,0.8568
2026-06-10,call,462.5,1,0.0027397260273972603,394.125,0.01,0.03,0.02,0.0,0.0,0.3,0.045,585,87,0.8522
2026-06-10,call,465.0,1,0.0027397260273972603,394.125,0.01,0.05,0.03,0.0,0.0,0.3,0.045,1782,633,0.8476
2026-06-10,call,470.0,1,0.0027397260273972603,394.125,0.01,0.06,0.035,0.0,0.0,0.3,0.045,1349,1305,0.8386
2026-06-10,call,475.0,1,0.0027397260273972603,394.125,0.01,0.04,0.025,0.0,0.0,0.3,0.045,1811,657,0.8297
2026-06-10,call,477.5,1,0.0027397260273972603,394.125,0.01,0.05,0.03,0.0,0.0,0.3,0.045,1149,4,0.8254
2026-06-10,call,480.0,1,0.0027397260273972603,394.125,0.01,0.05,0.03,0.0,0.0,0.3,0.045,1492,3184,0.8211
2026-06-10,call,482.5,1,0.0027397260273972603,394.125,0.01,0.13,0.07,0.0,0.0,0.3,0.045,858,11,0.8168
2026-06-10,call,485.0,1,0.0027397260273972603,394.125,0.01,0.06,0.035,0.0,0.0,0.3,0.045,729,1112,0.8126
2026-06-10,call,500.0,1,0.0027397260273972603,394.125,0.0,0.01,0.01,0.0,0.0,0.3,0.045,2574,269,0.7883
2026-06-10,call,520.0,1,0.0027397260273972603,394.125,0.0,0.01,0.01,0.0,0.0,0.3,0.045,676,36,0.7579
2026-06-10,call,525.0,1,0.0027397260273972603,394.125,0.0,0.56,0.01,0.0,0.0,0.3,0.045,544,48,0.7507
2026-06-10,call,530.0,1,0.0027397260273972603,394.125,0.0,0.22,0.01,0.0,0.0,0.3,0.045,967,21,0.7436
2026-06-10,call,600.0,1,0.0027397260273972603,394.125,0.0,0.2,0.03,0.0,0.0,0.3,0.045,2124,105,0.6569
2026-06-10,put,330.0,1,0.0027397260273972603,394.125,0.09,0.1,0.095,0.0,0.0,0.3,0.045,5992,2936,1.1943
2026-06-10,put,340.0,1,0.0027397260273972603,394.125,0.14,0.17,0.155,0.0,0.0,0.3,0.045,1008,2275,1.1592
2026-06-10,put,347.5,1,0.0027397260273972603,394.125,0.2,0.22,0.21,0.0,0.0,0.3,0.045,621,2093,1.1342
2026-06-10,put,350.0,1,0.0027397260273972603,394.125,0.23,0.24,0.235,0.0,0.0,0.3,0.045,814,2457,1.1261
2026-06-10,put,357.5,1,0.0027397260273972603,394.125,0.31,0.33,0.32,0.32,-0.0,1.0549,0.045,539,1555,1.1024
2026-06-10,put,360.0,1,0.0027397260273972603,394.125,0.36,0.38,0.37,0.0001,0.0,0.4437,0.045,751,5109,1.0948
2026-06-10,put,365.0,1,0.0027397260273972603,394.125,0.49,0.51,0.5,0.0,0.0,0.1301,0.045,642,4645,1.0798
2026-06-10,put,367.5,1,0.0027397260273972603,394.125,0.59,0.61,0.6,0.0,0.0,0.0001,0.045,544,4168,1.0724
2026-06-10,put,370.0,1,0.0027397260273972603,394.125,0.72,0.74,0.73,0.0,0.0,0.0001,0.045,1463,8705,1.0652
2026-06-10,put,375.0,1,0.0027397260273972603,394.125,1.14,1.16,1.15,0.0,0.0,0.0001,0.045,753,14354,1.051
2026-06-10,put,377.5,1,0.0027397260273972603,394.125,1.53,1.56,1.545,1.545,-0.0,0.8572,0.045,944,8276,1.044
2026-06-10,put,380.0,1,0.0027397260273972603,394.125,1.96,2.0,1.98,1.98,-0.0,0.8489,0.045,2495,29653,1.0372
2026-06-10,put,382.5,1,0.0027397260273972603,394.125,2.56,2.61,2.585,2.585,-0.0,0.8522,0.045,2223,15725,1.0304
2026-06-10,put,385.0,1,0.0027397260273972603,394.125,3.3,3.35,3.325,3.325,-0.0,0.8573,0.045,2469,36508,1.0237
2026-06-10,put,387.5,1,0.0027397260273972603,394.125,4.3,4.4,4.35,4.35,-0.0,0.8824,0.045,1237,23618,1.0171
2026-06-10,put,390.0,1,0.0027397260273972603,394.125,5.5,5.55,5.525,5.525,-0.0,0.9072,0.045,2852,55818,1.0106
2026-06-10,put,392.5,1,0.0027397260273972603,394.125,6.75,6.9,6.825,6.825,-0.0,0.9295,0.045,1466,29969,1.0041
2026-06-10,put,395.0,1,0.0027397260273972603,394.125,8.25,8.45,8.35,8.35,0.0,0.9626,0.045,1871,42212,0.9978
2026-06-10,put,397.5,1,0.0027397260273972603,394.125,10.0,10.15,10.075,10.075,-0.0,1.0052,0.045,1362,22025,0.9915
2026-06-10,put,400.0,1,0.0027397260273972603,394.125,11.95,12.15,12.05,12.05,0.0,1.0656,0.045,4845,65084,0.9853
2026-06-10,put,402.5,1,0.0027397260273972603,394.125,13.95,14.15,14.05,14.05,-0.0,1.1185,0.045,1164,25803,0.9792
2026-06-10,put,405.0,1,0.0027397260273972603,394.125,15.95,16.1,16.025,16.025,-0.0,1.1585,0.045,1284,52197,0.9731
2026-06-10,put,407.5,1,0.0027397260273972603,394.125,18.2,18.8,18.5,18.5,0.0,1.2577,0.045,1367,24031,0.9672
2026-06-10,put,410.0,1,0.0027397260273972603,394.125,20.45,21.0,20.725,20.725,-0.0,1.3176,0.045,2532,43043,0.9613
2026-06-10,put,412.5,1,0.0027397260273972603,394.125,22.7,23.2,22.95,18.3241,0.2524,0.0001,0.045,514,16815,0.9555
2026-06-10,put,415.0,1,0.0027397260273972603,394.125,25.1,25.9,25.5,20.8238,0.2246,0.0629,0.045,1404,19392,0.9497
2026-06-10,put,417.5,1,0.0027397260273972603,394.125,27.5,28.15,27.825,23.3235,0.193,0.1888,0.045,842,3830,0.944
2026-06-10,put,420.0,1,0.0027397260273972603,394.125,30.0,30.6,30.3,25.8235,0.1734,0.3328,0.045,1096,34785,0.9384
2026-06-10,put,422.5,1,0.0027397260273972603,394.125,32.4,33.25,32.825,28.332,0.1586,0.4814,0.045,502,2851,0.9328
2026-06-10,put,425.0,1,0.0027397260273972603,394.125,34.9,35.65,35.275,35.275,-0.0,1.7698,0.045,707,2764,0.9274
2026-06-10,put,430.0,1,0.0027397260273972603,394.125,39.5,40.25,39.875,39.875,-0.0,1.8571,0.045,980,4014,0.9166
2026-06-10,put,435.0,1,0.0027397260273972603,394.125,44.85,45.65,45.25,45.25,-0.0,2.0711,0.045,592,189,0.906
2026-06-12,call,80.0,2,0.00821917808219178,394.125,309.15,310.7,309.925,314.1546,-0.0135,0.0,0.045,631,1,4.9266
2026-06-12,call,380.0,2,0.00821917808219178,394.125,15.3,15.5,15.4,15.4,-0.0,0.4003,0.045,1468,2786,1.0372
2026-06-12,call,385.0,2,0.00821917808219178,394.125,12.05,12.2,12.125,12.125,0.0,0.4587,0.045,579,1696,1.0237
2026-06-12,call,390.0,2,0.00821917808219178,394.125,9.3,9.45,9.375,9.375,-0.0,0.4963,0.045,1275,8235,1.0106
2026-06-12,call,395.0,2,0.00821917808219178,394.125,7.05,7.15,7.1,7.1,-0.0,0.5228,0.045,1111,4104,0.9978
2026-06-12,call,397.5,2,0.00821917808219178,394.125,6.15,6.25,6.2,6.2,-0.0,0.5385,0.045,1536,2993,0.9915
2026-06-12,call,400.0,2,0.00821917808219178,394.125,5.35,5.4,5.375,5.375,-0.0,0.551,0.045,2677,14017,0.9853
2026-06-12,call,402.5,2,0.00821917808219178,394.125,4.5,4.55,4.525,4.525,0.0,0.5536,0.045,782,4921,0.9792
2026-06-12,call,405.0,2,0.00821917808219178,394.125,3.85,3.95,3.9,3.9,-0.0,0.5653,0.045,2024,16460,0.9731
2026-06-12,call,407.5,2,0.00821917808219178,394.125,3.3,3.4,3.35,3.35,-0.0,0.5761,0.045,5636,5446,0.9672
2026-06-12,call,410.0,2,0.00821917808219178,394.125,2.83,2.88,2.855,2.855,-0.0,0.5849,0.045,3091,13769,0.9613
2026-06-12,call,412.5,2,0.00821917808219178,394.125,2.41,2.45,2.43,2.43,0.0,0.5937,0.045,1981,6925,0.9555
2026-06-12,call,415.0,2,0.00821917808219178,394.125,2.07,2.1,2.085,2.085,-0.0,0.6044,0.045,4084,15034,0.9497
2026-06-12,call,417.5,2,0.00821917808219178,394.125,1.76,1.8,1.78,1.78,-0.0,0.6139,0.045,5720,3139,0.944
2026-06-12,call,420.0,2,0.00821917808219178,394.125,1.5,1.53,1.515,1.515,0.0,0.6227,0.045,9340,21043,0.9384
2026-06-12,call,422.5,2,0.00821917808219178,394.125,1.28,1.3,1.29,1.29,-0.0,0.6316,0.045,1942,3303,0.9328
2026-06-12,call,425.0,2,0.00821917808219178,394.125,1.1,1.11,1.105,1.105,-0.0,0.6415,0.045,9096,8917,0.9274
2026-06-12,call,427.5,2,0.00821917808219178,394.125,0.95,0.97,0.96,0.96,-0.0,0.6534,0.045,5294,1501,0.9219
2026-06-12,call,430.0,2,0.00821917808219178,394.125,0.8,0.82,0.81,0.81,0.0,0.6603,0.045,13458,13835,0.9166
2026-06-12,call,432.5,2,0.00821917808219178,394.125,0.7,0.72,0.71,0.0,0.0,0.0001,0.045,4986,1432,0.9113
2026-06-12,call,435.0,2,0.00821917808219178,394.125,0.6,0.62,0.61,0.0,0.0,0.0001,0.045,17924,5341,0.906
2026-06-12,call,437.5,2,0.00821917808219178,394.125,0.52,0.55,0.535,0.0,0.0,0.0001,0.045,2997,1060,0.9009
2026-06-12,call,440.0,2,0.00821917808219178,394.125,0.46,0.48,0.47,0.0,0.0,0.0001,0.045,9006,5357,0.8957
2026-06-12,call,442.5,2,0.00821917808219178,394.125,0.4,0.43,0.415,0.0,0.0,0.0001,0.045,1625,828,0.8907
2026-06-12,call,445.0,2,0.00821917808219178,394.125,0.36,0.39,0.375,0.0,0.0,0.0001,0.045,6098,2668,0.8857
2026-06-12,call,447.5,2,0.00821917808219178,394.125,0.32,0.35,0.335,0.0,0.0,0.0001,0.045,6821,947,0.8807
2026-06-12,call,450.0,2,0.00821917808219178,394.125,0.28,0.29,0.285,0.0,0.0,0.0001,0.045,14385,9345,0.8758
2026-06-12,call,452.5,2,0.00821917808219178,394.125,0.25,0.27,0.26,0.0,0.0,0.0001,0.045,1189,574,0.871
2026-06-12,call,455.0,2,0.00821917808219178,394.125,0.22,0.24,0.23,0.0,0.0,0.0001,0.045,2614,1430,0.8662
2026-06-12,call,457.5,2,0.00821917808219178,394.125,0.21,0.23,0.22,0.0,0.0,0.0001,0.045,759,355,0.8615
2026-06-12,call,460.0,2,0.00821917808219178,394.125,0.17,0.2,0.185,0.0,0.0,0.0001,0.045,6502,1754,0.8568
2026-06-12,call,462.5,2,0.00821917808219178,394.125,0.16,0.18,0.17,0.0,0.0,0.0001,0.045,810,253,0.8522
2026-06-12,call,465.0,2,0.00821917808219178,394.125,0.15,0.17,0.16,0.0,0.0,0.0001,0.045,3167,511,0.8476
2026-06-12,call,470.0,2,0.00821917808219178,394.125,0.12,0.15,0.135,0.0,0.0,0.0001,0.045,3377,2262,0.8386
2026-06-12,call,475.0,2,0.00821917808219178,394.125,0.1,0.14,0.12,0.0,0.0,0.0001,0.045,3231,2233,0.8297
2026-06-12,call,480.0,2,0.00821917808219178,394.125,0.08,0.12,0.1,0.0,0.0,0.3,0.045,11825,2212,0.8211
2026-06-12,call,485.0,2,0.00821917808219178,394.125,0.06,0.11,0.085,0.0,0.0,0.3,0.045,1403,581,0.8126
2026-06-12,call,490.0,2,0.00821917808219178,394.125,0.06,0.07,0.065,0.0,0.0,0.3,0.045,1664,771,0.8043
2026-06-12,call,495.0,2,0.00821917808219178,394.125,0.05,0.07,0.06,0.0,0.0,0.3,0.045,1837,78,0.7962
2026-06-12,call,500.0,2,0.00821917808219178,394.125,0.05,0.06,0.055,0.0,0.0,0.3,0.045,16341,3235,0.7883
2026-06-12,call,502.5,2,0.00821917808219178,394.125,0.04,0.09,0.065,0.0,0.0,0.3,0.045,961,208,0.7843
2026-06-12,call,505.0,2,0.00821917808219178,394.125,0.03,0.08,0.055,0.0,0.0,0.3,0.045,1723,372,0.7804
2026-06-12,call,507.5,2,0.00821917808219178,394.125,0.03,0.08,0.055,0.0,0.0,0.3,0.045,540,488,0.7766
2026-06-12,call,510.0,2,0.00821917808219178,394.125,0.03,0.08,0.055,0.0,0.0,0.3,0.045,1875,34,0.7728
2026-06-12,call,512.5,2,0.00821917808219178,394.125,0.03,0.08,0.055,0.0,0.0,0.3,0.045,623,302,0.769
2026-06-12,call,520.0,2,0.00821917808219178,394.125,0.02,0.06,0.04,0.0,0.0,0.3,0.045,2153,217,0.7579
2026-06-12,call,522.5,2,0.00821917808219178,394.125,0.02,0.09,0.055,0.0,0.0,0.3,0.045,2500,8,0.7543
2026-06-12,call,525.0,2,0.00821917808219178,394.125,0.02,0.08,0.05,0.0,0.0,0.3,0.045,984,48,0.7507
2026-06-12,call,530.0,2,0.00821917808219178,394.125,0.05,0.11,0.08,0.0,0.0,0.3,0.045,579,1067,0.7436
2026-06-12,call,540.0,2,0.00821917808219178,394.125,0.03,0.05,0.04,0.0,0.0,0.3,0.045,859,237,0.7299
2026-06-12,call,550.0,2,0.00821917808219178,394.125,0.02,0.08,0.05,0.0,0.0,0.3,0.045,3613,68,0.7166
2026-06-12,call,575.0,2,0.00821917808219178,394.125,0.02,0.15,0.085,0.0,0.0,0.3,0.045,583,35,0.6854
2026-06-12,call,580.0,2,0.00821917808219178,394.125,0.02,0.13,0.075,0.0,0.0,0.3,0.045,620,44,0.6795
2026-06-12,call,595.0,2,0.00821917808219178,394.125,0.02,0.15,0.085,0.0,0.0,0.3,0.045,1604,8,0.6624
2026-06-12,call,600.0,2,0.00821917808219178,394.125,0.02,0.04,0.03,0.0,0.0,0.3,0.045,4559,580,0.6569
2026-06-12,call,605.0,2,0.00821917808219178,394.125,0.02,0.14,0.08,0.0,0.0,0.3,0.045,1246,2,0.6514
2026-06-12,call,620.0,2,0.00821917808219178,394.125,0.02,0.14,0.08,0.0,0.0,0.3,0.045,606,26,0.6357
2026-06-12,call,630.0,2,0.00821917808219178,394.125,0.02,0.05,0.035,0.0,0.0,0.3,0.045,1597,22,0.6256
2026-06-12,call,650.0,2,0.00821917808219178,394.125,0.02,0.04,0.03,0.0,0.0,0.3,0.045,1297,94,0.6063
2026-06-12,call,670.0,2,0.00821917808219178,394.125,0.02,0.03,0.025,0.0,0.0,0.3,0.045,512,22,0.5882
